trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.1, 'e': 0.4110998615034951}",20,2,-73.5392134032184,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
45,False,"{'a': 0.1, 'e': 0.4028778642734252}",20,0,12.237388459948168,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.1, 'e': 0.39482030698795667}",20,6,16.420312798956527,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.1, 'e': 0.38692390084819756}",25,7,-37.89726765010922,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.1, 'e': 0.3791854228312336}",30,0,-25.776323011045996,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.37160171437460887}",25,6,-42.65794913725718,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.1, 'e': 0.3641696800871167}",25,0,20.416744447220008,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.35688628648537435}",30,0,-65.42396031360396,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
52,False,"{'a': 0.1, 'e': 0.34974856075566685}",20,16,8.723829108323953,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.3427535895405535}",20,0,-71.00585469519464,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.33589851774974244}",25,10,10.122732152770675,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.3291805473947476}",20,10,-19.481388464611154,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
56,False,"{'a': 0.1, 'e': 0.32259693644685267}",20,0,-92.09804299874574,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.1, 'e': 0.3161449977179156}",20,16,8.07587317815323,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.1, 'e': 0.3098220977635573}",20,14,-11.09548884309585,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.1, 'e': 0.30362565580828615}",20,3,25.320959143368782,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.1, 'e': 0.2975531426921204}",25,0,-79.77045152676725,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",1
61,False,"{'a': 0.1, 'e': 0.291602079838278}",25,0,12.856551068333545,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.2857700382415124}",20,6,-13.901364551223658,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.2800546374766822}",20,4,-35.15925889759867,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.1, 'e': 0.27445354472714856}",25,14,20.524924388175357,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.1, 'e': 0.2689644738326056}",20,8,19.194541815347183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.26358518435595346}",20,3,-41.57939236381978,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
67,False,"{'a': 0.1, 'e': 0.25831348066883436}",20,2,17.74295805398783,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.2531472110554577}",30,18,-10.200277955656716,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.24808426683434853}",25,14,-8.339633600004817,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.24312258149766156}",20,8,-33.91947676609738,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.1, 'e': 0.2382601298677083}",20,14,9.636968117097393,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.23349492727035415}",20,6,11.409410802185068,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.22882502872494706}",25,0,26.792604682926925,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.1, 'e': 0.22424852815044813}",35,17,-18.654540228538842,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.21976355758743915}",30,12,3.206326616991187,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.1, 'e': 0.21536828643569036}",20,8,8.424825484154226,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
